Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-11-05	  75.06	  76.39	Down	Down	match
AAPL	2014-01-16	  79.18	  79.88	Down	Down	match
AAPL	2014-05-02	  84.65	  85.27	Down	Down	match
AAPL	2014-06-19	  91.86	  91.74	Down	Down	match
AAPL	2014-06-24	  90.28	  91.47	Down	Down	match
AAPL	2014-06-25	  90.36	  90.48	Down	Down	match
AAPL	2014-08-04	  95.59	  92.82	Stable	Stable	match
AAPL	2014-09-08	  98.36	  98.29	Stable	Stable	match
AAPL	2014-11-17	 113.99	 116.25	Up	Up	match
AAPL	2015-06-01	 130.53	 132.67	Up	Up	match
AAPL	2016-03-22	 106.72	 105.50	Stable	Stable	match
AAPL	2016-09-09	 103.13	 107.08	Stable	Stable	match
AAPL	2016-11-25	 111.79	 110.23	Stable	Stable	match
AAPL	2017-02-07	 131.53	 128.94	Up	Up	match
AAPL	2017-04-24	 143.64	 142.04	Up	Up	match
AAPL	2017-11-02	 168.11	 166.32	Up	Up	match
IBM	2013-11-05	 177.85	 181.97	Stable	Up	miss
IBM	2014-01-16	 188.76	 188.77	Up	Up	match
IBM	2014-05-02	 191.44	 189.49	Up	Up	match
IBM	2014-06-19	 182.82	 185.27	Up	Up	match
IBM	2014-06-24	 180.88	 182.93	Stable	Up	miss
IBM	2014-06-25	 180.72	 182.00	Stable	Stable	match
IBM	2014-08-04	 189.64	 183.45	Up	Up	match
IBM	2014-09-08	 190.14	 191.30	Up	Up	match
IBM	2014-11-17	 164.16	 164.25	Down	Down	match
IBM	2015-06-01	 170.18	 170.42	Stable	Stable	match
IBM	2016-03-22	 148.10	 148.16	Down	Down	match
IBM	2016-09-09	 155.69	 160.90	Down	Down	match
IBM	2016-11-25	 163.14	 159.56	Down	Down	match
IBM	2017-02-07	 178.46	 175.39	Stable	Stable	match
IBM	2017-04-24	 160.75	 162.73	Down	Down	match
IBM	2017-11-02	 153.35	 153.79	Down	Down	match
HPQ	2016-03-22	  12.26	  12.27	Down	Down	match
HPQ	2016-09-09	  14.07	  14.50	Down	Stable	miss
HPQ	2016-11-25	  15.18	  14.81	Stable	Stable	match
HPQ	2017-02-07	  15.43	  15.43	Stable	Stable	match
HPQ	2017-04-24	  18.54	  18.01	Up	Up	match
HPQ	2017-11-02	  21.44	  21.19	Up	Up	match
